doi, title,author,year_published,jasist_vol_Issue,is_oa
10.1002/asi.23863,"Does it matter how you play? The effects of collaboration and competition among players of human computation games
","Pe‐Than, E. P. P., Goh, D. H. L., & Lee, C. S.",2017,"Volume 68, Issue 8",0
10.1002/asi.23844,Using interactive “Nutrition labels” for financial products to assist decision making under uncertainty,"Gunaratne, J., & Nov, O.",2017,"Volume 68, Issue 8",1
10.1002/asi.23820,The effects of credibility cues on the selection of search engine results,"Unkel, J., & Haas, A.",2017,"Volume 68, Issue 8",0
10.1002/asi.23861,Learning and adapting user criteria for recommending followees in social networks,"Tommasel, A., & Godoy, D.",2017,"Volume 68, Issue 8",0
10.1002/asi.23804,How does the world connect? Exploring the global diffusion of social network sites,"Larosiliere, G. D., Carter, L. D., & Meske, C.",2017,"Volume 68, Issue 8",1
10.1002/asi.23872,Factors that influence query reformulations and search performance in health information retrieval: A multilevel modeling approach,"Lu, K., Joo, S., Lee, T., & Hu, R.",2017,"Volume 68, Issue 8",0
10.1002/asi.23813,The mood of Chinese Pop music: Representation and recognition,"Hu, X., & Yang, Y. H.",2017,"Volume 68, Issue 8",0
10.1002/asi.23837,Graph‐based recommendation integrating rating history and domain knowledge: Application to on‐site guidance of museum visitors,"Minkov, E., Kahanov, K., & Kuflik, T.",2017,"Volume 68, Issue 8",1
10.1002/asi.23814,Scientific evolutionary pathways: Identifying and visualizing relationships for scientific topics,"Zhang, Yi, et al",2017,"Volume 68, Issue 8",1
10.1002/asi.23838,Personal‐discount sensitivity prediction for mobile coupon conversion optimization,"Greenstein‐Messica, A., Rokach, L., & Shabtai, A.",2017,"Volume 68, Issue 8",0
10.1002/asi.23850,Analysis of roles in engaging contentious online discussions in science,"Hara, N., & Sanfilippo, M. R",2017,"Volume 68, Issue 8",1
10.1002/asi.23821,Web citations in patents: Evidence of technological impact?,"Orduna‐Malea, E., Thelwall, M., & Kousha, K.",2017,"Volume 68, Issue 8",1
10.1002/asi.23834,Exploring characteristics of highly cited authors according to citation location and content,"An, J., Kim, N., Kan, M. Y., Chandrasekaran, M. K., & Song, M.",2017,"Volume 68, Issue 8",1
10.1002/asi.23815,"SlideShare presentations, citations, users, and trends: A professional site with academic and educational uses","Thelwall, M., & Kousha, K.",2017,"Volume 68, Issue 8",1
10.1002/asi.23805,Goodreads reviews to assess the wider impacts of books,"Kousha, K., Thelwall, M., & Abdoli, M.",2017,"Volume 68, Issue 8",1
10.1002/asi.23862,"News stories as evidence for research? BBC citations from articles, Books, and Wikipedia","Kousha, K., & Thelwall, M. ",2017,"Volume 68, Issue 8",1
10.1002/asi.23918,Assessing perceived organizational leadership styles through twitter text mining,"La Bella, A., Fronzetti Colladon, A., Battistoni, E., Castellan, S., & Francucci, M.",2018,"Volume 69, Issue 1",0
10.1002/asi.23919,Data set mentions and citations: A content analysis of full‐text publications,"Zhao, M., Yan, E., & Li, K.",2018,"Volume 69, Issue 1",1
10.1002/asi.23925,Metadata records machine translation combining multi‐engine outputs with limited parallel data,"Reyes Ayala, B., Knudson, R., Chen, J., Cao, G., & Wang, X",2018,"Volume 69, Issue 1",1
10.1002/asi.23915,Consumer valuation of personal information in the age of big data,"Lim, S., Woo, J., Lee, J., & Huh, S. Y.",2018,"Volume 69, Issue 1",0
10.1002/asi.23918,Assessing perceived organizational leadership styles through twitter text mining,"La Bella, A., Fronzetti Colladon, A., Battistoni, E., Castellan, S., & Francucci, M",2018,"Volume 69, Issue 1",0